"asociado_id","cantidad_entrega","anios_asociacion"
"20","42.21","13"
"37","3.11","18"
"48","5.27","17"
"77","3.09","17"
"78","12.79","17"
"80","117.7","17"
"81","19.17","17"
"95","36.03","17"
"105","19.83","17"
"107","3.06","17"
"141","19.98","14"
"144","13.29","19"
"150","30.67","16"
"153","11.92","15"
"155","12.56","15"
"157","41.84","17"
"158","145.48","18"
"166","10.66","15"
"175","13.74","14"
"185","27.07","14"
"188","1.1","14"
"207","25.97","14"
"419","29.49","14"
"462","17.29","14"
"470","82.91","14"
"487","78.32","14"
"497","23.84","14"
"512","10.27","14"
"522","2.76","14"
"532","2.48","15"
"561","53.79","15"
"596","20.23","14"
"606","25.54","14"
"648","5.93","3"
"1260","13.37","15"
"1268","18.64","15"
"1320","154.01","13"
"1332","4.12","15"
"1334","109.97","15"
"1342","127.15","15"
"1381","90.61","15"
"1384","159.7","15"
"1408","15.75","15"
"1418","25.44","15"
"1420","13.28","15"
"1436","0.93","15"
"1477","1.3","15"
"1483","24.33","15"
"1502","17.29","13"
"1729","11.49","13"
"1731","8.64","8"
"1735","164.01","13"
"1744","136.33","13"
"1769","168.41","13"
"1770","13.52","13"
"1776","67.61","13"
"1832","52.23","13"
"1841","17.14","13"
"1858","95.28","13"
"1863","17.25","13"
"1910","3.06","13"
"1929","36.42","13"
"2056","18.78","13"
"2065","11.72","13"
"2076","82.7","13"
"2092","3.81","13"
"2130","17.38","12"
"2139","5.62","12"
"2221","154.86","12"
"2225","16.53","10"
"2261","9.94","12"
"2295","73.83","11"
"2296","28.34","11"
"2306","88.92","11"
"2321","8.16","12"
"2324","16.84","12"
"2418","8.76","11"
"2445","28.69","11"
"2475","51.5","3"
"2494","261.19","11"
"2566","49.62","12"
"2589","110.49","0"
"2606","32.17","10"
"2652","60.67","12"
"2654","93.49","12"
"2662","35","12"
"2664","253.86","12"
"2669","21.76","12"
"2674","109.2","12"
"2676","15.98","12"
"2679","100.88","12"
"2701","57.1","12"
"2797","129.37","10"
"2807","69.09","10"
"2811","55.78","10"
"2816","7.83","10"
"2832","314.94","10"
"2834","138.2","10"
"2836","24.58","10"
"2842","102.88","10"
"2906","346.13","10"
"2947","241.44","20"
"2948","84.49","20"
"2966","156.5","19"
"2967","228.58","13"
"3025","68.59","13"
"3032","246.44","13"
"3060","102.27","18"
"3104","90.17","15"
"3108","18.34","15"
"3109","51.35","15"
"3127","6.07","15"
"3140","4","15"
"3153","32.53","14"
"3162","21.92","13"
"3170","6.43","12"
"3195","46.44","12"
"3206","55.01","12"
"3246","505.13","12"
"3247","191.53","12"
"3254","86.31","12"
"3259","0.96","12"
"3262","236.02","12"
"3298","34.47","11"
"3314","1.5","11"
"3327","33.42","12"
"3328","14.22","12"
"3352","64.75","11"
"3353","30.61","11"
"3354","195.86","11"
"3356","30.48","11"
"3361","321.27","10"
"3364","5.61","10"
"3369","20.03","10"
"3374","29.34","10"
"3376","52.23","10"
"3379","336.6","10"
"3380","139.83","8"
"3381","102.4","10"
"3383","144.82","10"
"3386","36.18","11"
"3410","2.69","10"
"3418","286.28","10"
"3424","129.88","10"
"3427","55.89","10"
"3438","52.44","8"
"3447","106.51","10"
"3479","204.17","9"
"3480","3.32","19"
"3491","8416.32","9"
"3502","126.04","9"
"3513","283.08","9"
"3515","5.01","9"
"3518","395.75","9"
"3529","11.38","9"
"3531","224.48","9"
"3532","45.89","9"
"3536","24.09","9"
"3549","31","9"
"3564","9.37","9"
"3565","52.24","9"
"3581","163.81","9"
"3590","190.52","9"
"3593","85.35","9"
"3595","11.4","9"
"3596","89.91","9"
"3600","27.02","9"
"3601","6.13","9"
"3602","54.58","9"
"3609","2.96","9"
"3611","19.09","9"
"3626","15.2","9"
"3627","405.45","9"
"3633","13.49","9"
"3643","20.4","9"
"3644","93.45","9"
"3659","16.31","3"
"3660","2.1","9"
"3664","6.61","9"
"3667","18.52","9"
"3669","50.9","9"
"3672","53.43","9"
"3692","81.75","9"
"3718","1742.54","9"
"3730","101.31","9"
"3738","11","9"
"3749","217.94","9"
"3750","95.66","9"
"3754","30.07","9"
"3755","413.64","8"
"3768","103.63","8"
"3783","42.12","8"
"3792","59.91","8"
"3793","2828.86","8"
"3794","154.3","9"
"3795","22.99","8"
"3796","21.4","8"
"3797","38.12","8"
"3800","4.78","8"
"3801","46.41","8"
"3807","4.86","8"
"3823","3.95","8"
"3824","38.78","8"
"3826","61.43","8"
"3839","45.82","8"
"3840","7.53","8"
"3841","9.36","8"
"3842","23.99","8"
"3843","144.96","8"
"3845","235.13","8"
"3847","456.91","8"
"3852","400.45","8"
"3873","97.09","8"
"3875","111.99","8"
"3876","47.62","8"
"3880","68.08","8"
"3882","76.47","8"
"3884","78.83","8"
"3900","13.53","8"
"3907","50.51","8"
"3916","84.49","8"
"3924","12.78","8"
"3935","11.41","8"
"3949","26.52","8"
"3950","36.92","8"
"3951","94.49","8"
"3954","16.39","8"
"3958","17.82","8"
"3960","179.99","8"
"3962","34.45","8"
"3969","29.69","8"
"3981","16.74","8"
"3983","28.76","8"
"4025","5.74","8"
"4028","33.83","8"
"4049","266.18","8"
"4053","31.38","8"
"4055","135.85","8"
"4056","78.81","8"
"4063","14.28","8"
"4066","182.44","8"
"4078","132.85","8"
"4080","35.37","8"
"4081","83.07","8"
"4082","6.33","8"
"4083","63.65","8"
"4084","132.71","8"
"4085","88.58","8"
"4086","83.97","8"
"4089","4.79","8"
"4100","32.38","8"
"4103","353.65","8"
"4115","107.45","8"
"4118","67.55","8"
"4125","167.75","8"
"4139","107.24","8"
"4142","10.11","8"
"4157","178.49","8"
"4171","6.18","8"
"4173","111.71","7"
"4205","188.69","7"
"4209","79.82","7"
"4241","26.27","7"
"4251","21.39","7"
"4253","28.6","7"
"4292","0.9","7"
"4293","33.89","7"
"4305","58.4","7"
"4306","49.34","7"
"4313","165.89","7"
"4315","46.36","7"
"4338","35.11","7"
"4341","33.2","7"
"4346","99.8","7"
"4353","49.44","7"
"4369","96.25","7"
"4371","161.13","7"
"4372","41.92","7"
"4383","14.22","7"
"4398","28.49","7"
"4399","186.84","7"
"4402","90.69","7"
"4405","27.35","7"
"4423","11.26","7"
"4426","168.08","7"
"4428","156.12","7"
"4430","38.65","7"
"4434","3.65","7"
"4435","83.04","7"
"4437","66.51","7"
"4438","25.97","7"
"4443","20.66","7"
"4452","164.06","7"
"4460","100.35","7"
"4466","9.23","7"
"4473","78.37","7"
"4476","3.17","7"
"4477","2.65","7"
"4481","63.97","7"
"4485","18.33","7"
"4493","50.39","7"
"4500","13.35","7"
"4502","34.56","7"
"4503","19.45","7"
"4508","62.22","7"
"4515","7.61","7"
"4519","27.88","7"
"4530","79.4","7"
