"sucursal_id","asesor_id","codigo_prestamo","dias_mora","producto","departamento"
"1","89","01023107","282","Terrenos","Jinotega"
"9","313","06012042","305","Credi - Vivienda","Jinotega"
"9","283","06010902","315","Renovación SAF","Jinotega"
"3","311","04009693","27","Maquinaria y Equipos","Jinotega"
"1","89","01023109","129","Maquinaria y Equipos","Jinotega"
"10","301","15000361","305","Terrenos","Jinotega"
"1","89","010231014","283","Producción Ganadera","Jinotega"
"5","280","040025726","310","Renovación SAF","Jinotega"
"5","280","040018926","300","Renovación SAF","Jinotega"
"1","89","010231016","433","Maquinaria y Equipos","Jinotega"
"1","320","01111113","37","Credi - Saneamiento","Jinotega"
"5","280","040025727","310","Mantenimiento de Café","Jinotega"
"3","311","04017822","134","Pequeño Comercio","Jinotega"
"3","311","04017442","193","Pequeño Comercio","Jinotega"
"13","265","192070001","581","Pequeño Comercio","Nueva Segovia"
"10","278","192810001","647","Granos Básicos","Nueva Segovia"
"10","269","193630001","647","Granos Básicos","Jinotega"
"3","257","04010044","68","Maquinaria y Equipos","Jinotega"
"2","309","07021233","326","Credi - Vivienda","Matagalpa"
"2","315","176650002","336","Credi - Saneamiento","Matagalpa"
"10","278","200230001","7","Producción Ganadera","Nueva Segovia"
"10","269","15001665","17","Producción Ganadera","Jinotega"
"10","278","15002214","305","Mantenimiento de Café","Jinotega"
"1","89","010036324","7","Hortalizas","Jinotega"
"4","273","13002722","67","Producción Ganadera","Estelí"
"2","293","184940002","545","Credi - Vivienda","Matagalpa"
"9","283","06001803","305","Mantenimiento de Café","Jinotega"
"13","221","201460003","647","Préstamos Personales","Madriz"
"3","271","040154912","289","Mantenimiento de Café","Jinotega"
"13","221","201460004","637","Préstamos Personales","Madriz"
"5","238","01112518","310","Maquinaria y Equipos","Jinotega"
"9","313","06012945","305","Raices Tropicales","Jinotega"
"10","278","15002215","305","Terrenos","Jinotega"
"5","280","050028920","301","Renovación SAF","Jinotega"
"2","293","07020033","485","Producción Ganadera","Matagalpa"
"4","273","204830002","65","Credi - Vivienda","Estelí"
"13","291","185710002","288","Credi - Vivienda","Madriz"
"2","315","07016664","2","Credi - Vivienda","Matagalpa"
"1","106","010147613","282","Maquinaria y Equipos","Jinotega"
"2","315","01028164","305","Maquinaria y Equipos","Jinotega"
"1","89","010231017","465","Hortalizas","Jinotega"
"4","273","13002384","0","Producción Ganadera","Estelí"
"9","299","208700001","521","Pequeño Comercio","Jinotega"
"10","278","209130001","298","Producción Ganadera","Nueva Segovia"
"10","269","208830001","392","Granos Básicos","Jinotega"
"10","237","209330001","360","Granos Básicos","Jinotega"
"1","89","181700002","402","Granos Básicos","Jinotega"
"10","269","05611713","381","Granos Básicos","Jinotega"
"10","269","210850002","0","Producción Ganadera","Jinotega"
"4","273","16840001","37","Maquinaria y Equipos","Estelí"
"10","237","178670003","360","Granos Básicos","Jinotega"
"1","89","211910001","402","Hortalizas","Jinotega"
"10","269","15001544","361","Granos Básicos","Jinotega"
"9","313","06012947","216","Raices Tropicales","Jinotega"
"9","283","06001804","305","Mantenimiento de Café","Jinotega"
"1","320","030004217","14","Maquinaria y Equipos","Jinotega"
"5","280","050028922","310","Mantenimiento de Café","Jinotega"
"2","293","179570003","2","Producción Ganadera","Matagalpa"
"10","278","181320003","401","Granos Básicos","Nueva Segovia"
"3","271","040154914","289","Mantenimiento de Café","Jinotega"
"3","271","040154915","289","Renovación SAF","Jinotega"
"5","280","050028923","310","Renovación SAF","Jinotega"
"5","280","050028924","310","Mantenimiento de Café","Jinotega"
"3","257","04011519","282","Mantenimiento de Café","Jinotega"
"10","269","215140001","370","Granos Básicos","Jinotega"
"2","315","07003265","155","Producción Ganadera","Matagalpa"
"1","320","216920001","218","Raices Tropicales","Jinotega"
"4","273","13000433","156","Producción Ganadera","Estelí"
"10","278","218490001","137","Producción Ganadera","Nueva Segovia"
"10","278","218490002","137","Maquinaria y Equipos","Nueva Segovia"
"10","301","185230003","270","Granos Básicos","Jinotega"
"15","267","219490001","125","Producción Ganadera","Jinotega"
"9","313","195960003","107","Pequeño Comercio","Jinotega"
"13","221","219930001","336","Granos Básicos","Madriz"
"4","273","16840004","107","Producción Ganadera","Estelí"
"9","313","060129411","216","Raices Tropicales","Jinotega"
"9","313","060129412","216","Raices Tropicales","Jinotega"
"3","271","13002115","95","Hortalizas","Estelí"
"3","120","040184710","98","Raices Tropicales","Jinotega"
"10","278","15000096","312","Granos Básicos","Jinotega"
"4","273","204830005","74","Maquinaria y Equipos","Estelí"
"3","311","211250002","282","Granos Básicos","Jinotega"
"13","265","224130001","1","Pequeño Comercio","Nueva Segovia"
"1","320","01109275","256","Granos Básicos","Jinotega"
"9","299","197080002","0","Pequeño Comercio","Jinotega"
"9","313","060129413","216","Raices Tropicales","Jinotega"
"4","273","214110003","251","Hortalizas","Estelí"
"10","301","177570004","63","Maquinaria y Equipos","Jinotega"
"4","273","13002745","69","Producción Ganadera","Estelí"
"9","299","06001686","1","Pequeño Comercio","Jinotega"
"2","285","07010625","63","Producción Ganadera","Matagalpa"
"2","293","07014436","185","Granos Básicos","Matagalpa"
"2","293","07014437","185","Maquinaria y Equipos","Matagalpa"
"10","269","15003943","14","Pequeño Comercio","Jinotega"
"10","278","224940001","56","Producción Ganadera","Nueva Segovia"
"1","251","02004534","101","Pequeño Comercio","Jinotega"
"1","106","01108775","11","Pequeño Comercio","Jinotega"
"3","311","211250003","221","Hortalizas","Jinotega"
"9","299","220650002","216","Granos Básicos","Jinotega"
